timestamp	spike_count
7708738613.600788	0
7708771929.517621	0
7708805245.434454	0
7708838560.35129	0
7708871876.268124	0
7708905191.184959	0
7708938506.101794	0
7708971822.018628	0
7709005137.935461	0
7709038452.852297	0
7709071768.76913	0
7709105083.685966	0
7709138399.602799	0
7709171715.519632	0
7709205030.436468	0
7709238345.353304	0
7709271661.270137	0
7709304976.186973	0
7709338292.103806	0
7709371607.020641	0
7709404922.937475	0
7709438237.854311	0
7709471553.771144	0
7709504868.68798	0
7709538184.604813	0
7709571500.521646	0
7709604815.438481	0
7709638131.355315	0
7709671446.272151	0
7709704761.188986	0
7709738077.10582	0
7709771393.022653	0
7709804707.939488	0
7709838023.856321	0
7709871339.773155	0
7709904654.689991	0
7709937969.606827	0
7709971285.52366	0
7710004600.4404955	0
7710037916.357328	0
7710071231.274164	0
7710104547.190997	0
7710137862.107833	0
7710171178.024667	0
7710204493.9415	0
7710237808.8583355	0
7710271124.775168	0
7710304439.692004	0
7710337760.608825	0
7710371071.525671	0
7710404386.442507	0
7710437701.359343	0
7710471017.2761755	0
7710504332.193011	0
7710537648.109844	0
7710570963.02668	0
7710604278.943513	0
7710637593.860349	0
7710670909.777183	0
7710704225.6940155	0
7710737540.610851	0
7710770856.527684	0
7710804171.44452	0
7710837486.361356	0
7710870802.278189	0
7710904117.1950245	0
7710937433.111858	0
7710970749.028691	0
7711004063.945527	0
7711037378.862363	0
7711070694.779196	0
7711104010.696029	0
7711137325.6128645	0
7711170641.529698	0
7711203956.446534	0
7711237272.363367	0
7711270587.280203	0
7711303903.197036	0
7711337218.113872	0
7711370534.0307045	0
7711403849.947538	0
7711437164.864374	0
7711470479.78121	0
7711503795.698043	0
7711537110.614879	0
7711570426.531712	0
7711603742.4485445	0
7711637057.36538	0
7711670373.282214	0
7711703688.19905	0
7711737003.115886	0
7711770319.032719	0
7711803634.949552	0
7711836949.866387	0
7711870265.78322	0
7711903580.700056	0
7711936895.616892	0
7711970211.533726	0
7712003527.450559	0
7712036842.367394	0
7712070158.284227	0
7712103473.201063	0
7712136789.117896	0
7712170104.034732	0
7712203419.951566	0
7712236734.868402	0
7712270050.785234	0
7712303366.702067	0
7712336681.618903	0
7712369997.535736	0
7712403312.452572	0
7712436628.369406	0
7712469943.286242	0
7712503258.203077	0
7712536574.11991	0
7712569890.036743	0
7712603204.953579	0
7712636520.870412	0
7712669835.787248	0
7712703151.704082	0
7712736466.620917	0
7712769782.53775	0
7712803097.454586	0
7712836413.371419	0
7712869728.288255	0
7712903044.205088	0
7712936359.121923	0
7712969675.038757	0
7713002990.95559	0
7713036305.872426	0
7713069620.789262	0
7713102936.706095	0
7713136252.622928	0
7713169567.539763	0
7713202883.456597	0
7713236198.373433	0
7713269514.290266	0
7713302829.207102	0
7713336145.123935	0
7713369460.040771	0
7713402775.957603	0
7713436090.874439	0
7713469406.791273	0
7713502721.708109	0
7713536037.624942	0
7713569352.541778	0
7713602668.458611	0
7713635983.375446	0
7713669299.292279	0
7713702614.209115	0
7713735930.125949	0
7713769245.042785	0
7713802560.959618	0
7713835876.876451	0
7713869191.793286	0
7713902507.710119	0
7713935822.626955	0
7713969137.543791	0
7714002453.460625	0
7714035769.377458	0
7714069084.294293	0
7714102400.211126	0
7714135715.127962	0
7714169031.044795	0
7714202346.961629	0
7714235661.878465	0
7714268976.7953005	0
7714302292.712133	0
7714335608.628966	0
7714368923.545802	0
7714402239.462636	0
7714435554.379471	0
7714468869.296307	0
7714502185.2131405	0
7714535501.129973	0
7714568816.046809	0
7714602131.963642	0
7714635446.880478	0
7714668762.797311	0
7714702077.714147	0
7714735393.6309805	0
7714768708.547816	0
