timestamp	x	y
7708738613.600788	411.4318383019756	295.75778345392587
7708771929.517621	412.19509741360747	296.0296661964971
7708805245.434454	413.76513655842786	296.46514252545757
7708838560.35129	415.1936593272107	296.3818986790181
7708871876.268124	416.01472082706033	295.6691925041086
7708905191.184959	416.1319150293917	294.8265102829418
7708938506.101794	415.7517809883298	294.13720518881667
7708971822.018628	415.15787869617526	293.6701337127669
7709005137.935461	414.5901728196797	293.3645936440342
7709038452.852297	414.2240531155589	293.0624018580945
7709071768.76913	414.1306323421963	292.8070899370242
7709105083.685966	414.40884363148876	292.77647286285145
7709138399.602799	415.2980919585873	293.1586454629914
7709171715.519632	416.88744919655744	293.7968952698887
7709205030.436468	418.972161512038	294.57686709144593
7709238345.353304	421.2831546971729	295.9907026904121
7709271661.270137	423.6958262343071	297.9284943972272
7709304976.186973	426.0998751649299	299.32593645760954
7709338292.103806	428.03852928044915	299.71146622051333
7709371607.020641	429.0436039782716	299.62106407764026
7709404922.937475	429.2401988630242	299.65420371291003
7709438237.854311	429.11558552003584	299.81068122868913
7709471553.771144	428.96973505941145	299.7078226672248
7709504868.68798	428.74152018512535	299.37467856511176
7709538184.604813	428.3221055252184	299.2309617042635
7709571500.521646	427.8263097924398	299.3010931301027
7709604815.438481	427.39577989300176	299.34640477571713
7709638131.355315	426.9197341413072	299.2679975292935
7709671446.272151	426.0587803749756	299.08850691720477
7709704761.188986	424.70649455412877	298.8879306086292
7709738077.10582	423.04346634801186	298.4302273944741
7709771393.022653	420.9275336727412	297.36923909447347
7709804707.939488	417.8670744453182	295.6884750815863
7709838023.856321	413.5123950027926	293.8004773986506
7709871339.773155	408.1709309318085	292.38943377848875
7709904654.689991	402.9278620402599	292.06565072001104
7709937969.606827	398.72687709732685	292.67744757400516
7709971285.52366	395.44310392170627	293.2362843977236
7710004600.4404955	392.9282275733879	293.5210951607609
7710037916.357328	391.33697810724146	294.0379934891792
7710071231.274164	390.42306663989797	294.7138801095285
7710104547.190997	389.5801542259279	295.1031458130787
7710137862.107833	388.77182378508945	295.4436855241428
7710171178.024667	388.2354560610976	295.98100215876036
7710204493.9415	387.84322317167084	296.36490056881723
7710237808.8583355	387.5296089144294	296.5704996834117
7710271124.775168	387.3693673153072	296.5632041101669
7710304439.692004	387.27656870072747	296.0334473565457
7710337760.608825	387.24767175101084	294.99413204694446
